1,1,CSI 1430
2,2,CSI 1440,CSI 2350
3,2,CSI 2334,CSI 3334
4,2,CSI 3471,CSI 3344
5,3,CSI 3336,CSI 3335,CSI 3372
6,3,CSI 3439,CSI 4321,CSI 4111
7,3,CSI 4337,PHI 1310,CSI 4323
8,2,CSI 43C9,CSI 4330
